road_key,road_name,measurements_count,stations_count,date_min,date_max,traffic_factor_latest,traffic_factor_max,traffic_factor_mean,vehicle_count_max,vehicle_count_mean,source_latest
cell_u3qc79,cell_u3qc79,1,1,2026-06-01 18:22:52.645188,2026-06-01 18:22:52.645188,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc7b,cell_u3qc7b,1,1,2026-06-01 18:23:00.373005,2026-06-01 18:23:00.373005,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qc7c,cell_u3qc7c,1,1,2026-06-01 18:23:29.956844,2026-06-01 18:23:29.956844,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc7d,cell_u3qc7d,1,1,2026-06-01 18:23:01.526469,2026-06-01 18:23:01.526469,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc7f,cell_u3qc7f,1,1,2026-06-01 18:23:27.121326,2026-06-01 18:23:27.121326,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qc7g,cell_u3qc7g,1,1,2026-06-01 18:23:45.421914,2026-06-01 18:23:45.421914,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qc7h,cell_u3qc7h,1,1,2026-06-01 18:23:34.123293,2026-06-01 18:23:34.123293,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qc7j,cell_u3qc7j,1,1,2026-06-01 18:23:45.106375,2026-06-01 18:23:45.106375,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc7n,cell_u3qc7n,1,1,2026-06-01 18:23:37.308363,2026-06-01 18:23:37.308363,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc7q,cell_u3qc7q,1,1,2026-06-01 18:23:39.269742,2026-06-01 18:23:39.269742,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc7s,cell_u3qc7s,1,1,2026-06-01 18:23:50.327467,2026-06-01 18:23:50.327467,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc7t,cell_u3qc7t,1,1,2026-06-01 18:23:32.185165,2026-06-01 18:23:32.185165,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc7u,cell_u3qc7u,1,1,2026-06-01 18:22:46.924035,2026-06-01 18:22:46.924035,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qc7v,cell_u3qc7v,1,1,2026-06-01 18:23:21.321565,2026-06-01 18:23:21.321565,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qc7w,cell_u3qc7w,1,1,2026-06-01 18:23:46.401755,2026-06-01 18:23:46.401755,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qc7y,cell_u3qc7y,1,1,2026-06-01 18:23:53.191009,2026-06-01 18:23:53.191009,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qch0,cell_u3qch0,1,1,2026-06-01 18:23:03.878175,2026-06-01 18:23:03.878175,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qch1,cell_u3qch1,1,1,2026-06-01 18:23:54.965758,2026-06-01 18:23:54.965758,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qch2,cell_u3qch2,1,1,2026-06-01 18:23:21.890934,2026-06-01 18:23:21.890934,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qch3,cell_u3qch3,1,1,2026-06-01 18:23:50.540339,2026-06-01 18:23:50.540339,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qch4,cell_u3qch4,1,1,2026-06-01 18:23:41.818903,2026-06-01 18:23:41.818903,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qch5,cell_u3qch5,1,1,2026-06-01 18:23:42.359273,2026-06-01 18:23:42.359273,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qch6,cell_u3qch6,1,1,2026-06-01 18:23:12.349041,2026-06-01 18:23:12.349041,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qch7,cell_u3qch7,1,1,2026-06-01 18:23:36.667660,2026-06-01 18:23:36.667660,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qch8,cell_u3qch8,1,1,2026-06-01 18:23:16.459326,2026-06-01 18:23:16.459326,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qch9,cell_u3qch9,1,1,2026-06-01 18:23:43.579401,2026-06-01 18:23:43.579401,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qchb,cell_u3qchb,1,1,2026-06-01 18:23:08.237558,2026-06-01 18:23:08.237558,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qchc,cell_u3qchc,1,1,2026-06-01 18:23:11.126875,2026-06-01 18:23:11.126875,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qchd,cell_u3qchd,1,1,2026-06-01 18:23:42.036804,2026-06-01 18:23:42.036804,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qche,cell_u3qche,1,1,2026-06-01 18:23:13.830536,2026-06-01 18:23:13.830536,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qchf,cell_u3qchf,1,1,2026-06-01 18:23:28.713327,2026-06-01 18:23:28.713327,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qchg,cell_u3qchg,1,1,2026-06-01 18:23:02.587411,2026-06-01 18:23:02.587411,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qchh,cell_u3qchh,1,1,2026-06-01 18:23:04.310549,2026-06-01 18:23:04.310549,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qchj,cell_u3qchj,1,1,2026-06-01 18:23:16.661545,2026-06-01 18:23:16.661545,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qchk,cell_u3qchk,1,1,2026-06-01 18:23:26.563664,2026-06-01 18:23:26.563664,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qchm,cell_u3qchm,1,1,2026-06-01 18:23:18.670464,2026-06-01 18:23:18.670464,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qchn,cell_u3qchn,1,1,2026-06-01 18:23:05.292429,2026-06-01 18:23:05.292429,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qchp,cell_u3qchp,1,1,2026-06-01 18:22:50.262207,2026-06-01 18:22:50.262207,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qchq,cell_u3qchq,1,1,2026-06-01 18:23:35.405566,2026-06-01 18:23:35.405566,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qchr,cell_u3qchr,1,1,2026-06-01 18:23:41.617608,2026-06-01 18:23:41.617608,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qchs,cell_u3qchs,1,1,2026-06-01 18:23:27.508678,2026-06-01 18:23:27.508678,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcht,cell_u3qcht,1,1,2026-06-01 18:22:58.717277,2026-06-01 18:22:58.717277,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qchu,cell_u3qchu,1,1,2026-06-01 18:23:10.714233,2026-06-01 18:23:10.714233,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qchv,cell_u3qchv,1,1,2026-06-01 18:23:23.552395,2026-06-01 18:23:23.552395,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qchw,cell_u3qchw,1,1,2026-06-01 18:22:59.588517,2026-06-01 18:22:59.588517,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qchx,cell_u3qchx,1,1,2026-06-01 18:23:22.203910,2026-06-01 18:23:22.203910,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qchy,cell_u3qchy,1,1,2026-06-01 18:23:21.779180,2026-06-01 18:23:21.779180,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qchz,cell_u3qchz,1,1,2026-06-01 18:23:07.437027,2026-06-01 18:23:07.437027,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcj0,cell_u3qcj0,1,1,2026-06-01 18:22:53.991156,2026-06-01 18:22:53.991156,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcj1,cell_u3qcj1,1,1,2026-06-01 18:23:13.931727,2026-06-01 18:23:13.931727,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcj2,cell_u3qcj2,1,1,2026-06-01 18:23:09.392443,2026-06-01 18:23:09.392443,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcj3,cell_u3qcj3,1,1,2026-06-01 18:22:49.218389,2026-06-01 18:22:49.218389,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcj4,cell_u3qcj4,1,1,2026-06-01 18:23:28.165694,2026-06-01 18:23:28.165694,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcj5,cell_u3qcj5,1,1,2026-06-01 18:23:23.115585,2026-06-01 18:23:23.115585,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcj6,cell_u3qcj6,1,1,2026-06-01 18:23:00.824566,2026-06-01 18:23:00.824566,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcj7,cell_u3qcj7,1,1,2026-06-01 18:23:24.395756,2026-06-01 18:23:24.395756,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcj8,cell_u3qcj8,1,1,2026-06-01 18:23:30.598506,2026-06-01 18:23:30.598506,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcj9,cell_u3qcj9,1,1,2026-06-01 18:23:10.503380,2026-06-01 18:23:10.503380,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcjb,cell_u3qcjb,1,1,2026-06-01 18:23:45.733387,2026-06-01 18:23:45.733387,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcjc,cell_u3qcjc,1,1,2026-06-01 18:22:57.506282,2026-06-01 18:22:57.506282,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcjd,cell_u3qcjd,1,1,2026-06-01 18:22:48.211912,2026-06-01 18:22:48.211912,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcje,cell_u3qcje,1,1,2026-06-01 18:23:04.966241,2026-06-01 18:23:04.966241,1.3,1.3,1.3,0,0.0,tomtom_real_time
